1,4,5,9,16,38,39,45,49,50,53,57,58,62,64,66,74,75,77,80
3,6,7,16,19,22,23,28,29,31,33,34,37,40,54,59,61,62,63,70
3,7,9,13,14,16,18,24,27,28,32,33,46,49,52,54,61,71,75,78
5,7,8,23,25,27,28,34,36,39,49,51,52,54,59,60,62,64,72,77
2,3,15,16,21,22,23,27,28,29,32,34,36,38,47,48,59,66,71,73
1,7,10,11,20,22,26,38,43,46,47,48,50,54,55,65,67,68,70,72
1,5,6,12,15,18,26,28,29,31,34,45,49,56,59,64,68,70,73,80
1,2,10,14,15,18,26,27,29,35,37,39,43,46,52,56,59,62,78,80
2,9,10,13,15,16,23,28,34,35,37,39,41,49,53,54,62,69,74,79
7,12,14,21,25,26,27,31,32,34,39,45,47,50,55,57,61,65,68,73
3,6,7,14,15,17,24,25,26,32,34,36,47,48,59,68,70,74,76,77
4,7,8,9,16,18,20,26,28,38,40,44,53,57,59,62,70,74,75,78
1,3,6,8,22,25,28,35,36,45,46,48,51,52,55,57,59,66,72,76
3,8,13,14,18,24,25,31,33,41,44,51,53,54,62,63,65,68,72,79
6,7,8,11,20,31,32,35,38,39,45,46,58,62,66,68,69,72,75,79
4,5,13,20,21,22,24,25,26,30,37,39,41,51,53,55,57,61,70,74
3,20,22,34,36,38,39,41,44,46,47,49,50,54,58,61,63,64,67,68
3,8,9,10,11,17,23,25,26,29,30,38,41,43,56,60,64,66,70,80
12,13,15,16,26,31,40,42,48,49,51,54,56,59,64,66,70,73,74,78
1,4,6,11,12,18,19,31,37,40,45,46,48,53,55,56,63,68,70,75
3,4,8,10,13,15,16,19,22,25,29,34,47,48,58,63,67,75,78,80
4,6,11,12,35,37,40,47,49,54,56,57,59,62,65,70,71,75,76,79
3,7,11,14,32,37,39,43,44,45,49,59,63,65,66,67,70,77,78,79
1,3,11,12,21,22,32,50,52,53,59,62,63,65,66,67,71,73,77,78
2,3,5,14,16,25,27,37,38,45,48,49,50,54,61,65,69,71,74,75
6,8,11,14,15,17,28,31,33,34,35,37,45,59,60,63,71,72,76,79
1,3,5,8,12,15,16,18,19,33,35,38,39,58,59,63,65,68,71,72
1,2,4,5,6,12,17,23,29,38,39,40,43,44,50,53,54,64,73,75
4,9,11,15,17,18,20,24,27,28,30,32,38,42,43,45,47,65,66,77
6,8,10,16,23,24,35,36,38,39,42,54,57,58,62,63,64,68,71,80
10,20,27,28,32,35,36,45,46,50,53,54,57,62,64,66,72,73,75,76
